Query String,Sentence,Ambiguity Signature Class,Ground-Truth Contextual Target,Conflicting Classical Parse Output,SpaCy_Raw_Pred,SpaCy_CtxRel,SpaCy_Faith,SpaCy_AnsRel,SpaCy_Generated_Answer,Agentic_Raw_Pred,Agentic_CtxRel,Agentic_Faith,Agentic_AnsRel,Agentic_Generated_Answer,Quantum_Raw_Pred,Quantum_CtxRel,Quantum_Faith,Quantum_AnsRel,Quantum_Generated_Answer,QUANTUM_OUTPERFORMED_BOTH
What physical object made direct contact to bypass the terminal?,The hacker bypassed the terminal with the gaming controller wired to the terminal drive.,Lexical Echo,The gaming controller.,The terminal drive.,0,43.88469314575195,44.36029815673828,27.865154266357422,A screwdriver.,0,43.88469314575195,44.36029815673828,27.865154266357422,A screwdriver.,1,28.65207290649414,100.0000228881836,28.65207290649414,The gaming controller.,True
What physical object made direct contact to bypass the circuit?,The engineer bypassed the circuit with the copper wire coiled around the circuit fuse.,Lexical Echo,The copper wire.,The circuit fuse.,0,49.98346710205078,41.247230529785156,38.194393157958984,The metal screwdriver.,0,49.98346710205078,41.247230529785156,38.194393157958984,The metal screwdriver.,0,49.98346710205078,41.247230529785156,38.194393157958984,The metal screwdriver.,False
What physical object made direct contact to slip the knot?,The hostage slipped the knot with the broken nail hidden under the knot knife.,Lexical Echo,The broken nail.,The knot knife.,0,62.2720947265625,78.70640563964844,28.345191955566406,The knife.,0,62.2720947265625,78.70640563964844,28.345191955566406,The knife.,0,62.2720947265625,78.70640563964844,28.345191955566406,The knife.,False
What physical object made direct contact to signal the camp?,The scout signaled the camp with the mirrored glass held before the camp flashlight.,Lexical Echo,The mirrored glass.,The camp flashlight.,0,51.6791877746582,100.0,51.6791877746582,The camp flashlight.,0,51.6791877746582,100.0,51.6791877746582,The camp flashlight.,1,16.969192504882812,100.0000228881836,16.969192504882812,The mirrored glass.,True
What physical object made direct contact to shatter the case?,The burglar shattered the case with the soft jacket wrapped around the case hammer.,Lexical Echo,The soft jacket.,The case hammer.,0,47.7306022644043,100.0,47.7306022644043,The case hammer.,0,47.7306022644043,100.0,47.7306022644043,The case hammer.,0,47.7306022644043,100.0,47.7306022644043,The case hammer.,False
What physical object made direct contact to cut the diamond?,The jeweler cut the diamond with the glass shard glued to the diamond saw.,Lexical Echo,The glass shard.,The diamond saw.,0,71.74063873291016,85.58601379394531,72.16773986816406,The diamond saw's diamond-coated blade.,0,71.74063873291016,85.58601379394531,72.16773986816406,The diamond saw's diamond-coated blade.,1,25.391725540161133,100.00001525878906,25.391725540161133,The glass shard.,True
What physical object made direct contact to poison the cup?,The assassin poisoned the cup with the dirty rag hiding the cup vial.,Lexical Echo,The dirty rag.,The cup vial.,0,46.69287872314453,86.14498138427734,31.223487854003906,The vial.,0,46.69287872314453,86.14498138427734,31.223487854003906,The vial.,0,46.69287872314453,86.14498138427734,31.223487854003906,The vial.,False
What physical object made direct contact to breach the door?,The firefighter breached the door with the heavy brick swung at the door axe.,Lexical Echo,The heavy brick.,The door axe.,0,45.87349319458008,82.09321594238281,18.793949127197266,The axe.,0,45.87349319458008,82.09321594238281,18.793949127197266,The axe.,1,25.82756805419922,100.0,25.82756805419922,The heavy brick.,True
What physical object made direct contact to probe the wound?,The surgeon probed the wound with the plastic peg held near the wound retractor.,Lexical Echo,The plastic peg.,The wound retractor.,0,61.20533752441406,100.00001525878906,61.20533752441406,The wound retractor.,0,61.20533752441406,100.00001525878906,61.20533752441406,The wound retractor.,1,30.63179588317871,100.0000228881836,30.63179588317871,The plastic peg.,True
What physical object made direct contact to pick the padlock?,The thief picked the padlock with the iron wire taped to the padlock pick.,Lexical Echo,The iron wire.,The padlock pick.,0,70.68118286132812,74.86537170410156,89.88301849365234,The physical object that made direct contact to pick the padlock is the pick itself.,0,70.68118286132812,74.86537170410156,89.88301849365234,The physical object that made direct contact to pick the padlock is the pick itself.,0,70.68118286132812,74.86537170410156,89.88301849365234,The physical object that made direct contact to pick the padlock is the pick itself.,False
What physical object made direct contact to parry the foil?,The fencer parried the foil with the leather glove gripping the foil guard.,Lexical Echo,The leather glove.,The foil guard.,0,56.7265510559082,42.780242919921875,30.577808380126953,The sword.,0,56.7265510559082,42.780242919921875,30.577808380126953,The sword.,1,21.900432586669922,100.0000228881836,21.900432586669922,The leather glove.,True
What physical object made direct contact to join the seam?,The welder joined the seam with the heated wire touching the seam torch.,Lexical Echo,The heated wire.,The seam torch.,0,56.55748748779297,100.00001525878906,56.55748748779297,The seam torch.,0,56.55748748779297,100.00001525878906,56.55748748779297,The seam torch.,1,33.77531814575195,52.566410064697266,33.724647521972656,A soldering iron.,True
What physical object made direct contact to poison the king?,The assassin poisoned the king with the dirty rag wrapped around the poison vial.,Topological Anchor,The dirty rag.,The poison vial.,0,46.52687454223633,40.013492584228516,21.92131805419922,The wine glass.,0,46.52687454223633,40.013492584228516,21.92131805419922,The wine glass.,1,23.577083587646484,100.00001525878906,23.577083587646484,The dirty rag.,True
What physical object made direct contact to slice the roast?,The chef sliced the roast with the dull coin embedded in the chef knife.,Topological Anchor,The dull coin.,The chef knife.,0,39.70357894897461,100.0,39.70357894897461,The chef knife.,0,39.70357894897461,100.0,39.70357894897461,The chef knife.,1,14.582687377929688,100.0,14.582687377929688,The dull coin.,True
What physical object made direct contact to crush the garlic?,"Using the silk napkin, the chef crushed the garlic, completely ignoring the garlic press.",Instrumental Fronting,The silk napkin.,The garlic press.,0,61.433387756347656,100.00001525878906,61.433387756347656,The garlic press.,0,61.433387756347656,100.00001525878906,61.433387756347656,The garlic press.,1,31.882186889648438,100.00001525878906,31.882186889648438,The silk napkin.,True
What physical object made direct contact to till the soil?,"Using the wooden stick, the farmer tilled the soil, completely ignoring the soil plow.",Instrumental Fronting,The wooden stick.,The soil plow.,0,62.318973541259766,81.08772277832031,35.1804084777832,The plow.,0,62.318973541259766,81.08772277832031,35.1804084777832,The plow.,1,29.41986656188965,99.99998474121094,29.41986656188965,The wooden stick.,True
What physical object made direct contact to crack the rock?,"Using the wooden mallet, the miner cracked the rock, completely ignoring the rock drill.",Instrumental Fronting,The wooden mallet.,The rock drill.,0,47.267704010009766,62.39794921875,23.73904800415039,The drill bit.,0,47.267704010009766,62.39794921875,23.73904800415039,The drill bit.,1,27.534229278564453,100.0,27.534229278564453,The wooden mallet.,True
What physical object made direct contact to filter the water?,"Using the cotton shirt, the camper filtered the water, completely ignoring the water mesh.",Instrumental Fronting,The cotton shirt.,The water mesh.,0,55.42660903930664,100.0,55.42660903930664,The water mesh.,0,55.42660903930664,100.0,55.42660903930664,The water mesh.,1,17.999094009399414,100.0000228881836,17.999094009399414,The cotton shirt.,True
