Query_ID,Sentence,E(θ) 1x Noise,E(θ) 3x Noise,E(θ) 5x Noise,ZNE Limit (0x Noise)
Q_29,The suspect interrogated by the police confessed.,-0.9585,-0.9517,-0.9419,-0.9619
Q_30,The car driven past the house crashed.,0.9585,0.9521,0.9531,0.9617
Q_31,The athlete injured in the game cried.,0.9585,0.9639,0.9404,0.9558
Q_32,The man bitten by the dog howled.,-0.9614,-0.958,-0.9531,-0.9631
Q_33,The child pushed down the slide laughed.,-0.9756,-0.9673,-0.9429,-0.9797
Q_34,The woman painted by the artist smiled.,-0.9736,-0.9512,-0.9414,-0.9849
Q_35,The bird watched by the cat flew.,-0.9629,-0.9595,-0.9473,-0.9646
Q_36,The ship sailed across the sea sank.,-0.9644,-0.9531,-0.9321,-0.97
Q_37,The letter mailed to the boss vanished.,-0.9595,-0.9624,-0.9448,-0.958
Q_38,The gold mined from the cave gleamed.,-0.96,-0.9644,-0.9404,-0.9578
Q_39,The food cooked by the chef burned.,-0.9663,-0.9614,-0.9546,-0.9688
Q_40,The song sung by the choir echoed.,-0.9648,-0.9443,-0.938,-0.9751
Q_41,The book read by the class vanished.,-0.9556,-0.9575,-0.9438,-0.9546
Q_42,The movie directed by the star flopped.,-0.958,-0.9639,-0.9561,-0.9551
Q_43,The play rehearsed in the hall started.,-0.9868,-0.9653,-0.9531,-0.9976
Q_44,The team coached by the veteran won.,0.9561,0.9531,0.9604,0.9575
Q_45,The army led into battle charged.,0.9819,0.9722,0.9673,0.9868
Q_46,The patient treated by the nurse recovered.,0.9614,0.9502,0.957,0.967
Q_47,The code written by the dev compiled.,-0.9663,-0.9624,-0.9468,-0.9683
Q_48,The cake baked by the mom cooled.,-0.957,-0.9565,-0.9492,-0.9573
Q_49,The window broken by the rock shattered.,-0.9565,-0.96,-0.9551,-0.9548
Q_50,The incredibly ancient and massively towering oak tree suddenly struck by the fiercely violent lightning dramatically split.,-0.856,-0.7622,-0.6548,-0.9028
Q_51,"Using the silk napkin, the chef crushed the garlic, completely ignoring the garlic press.",-0.9604,-0.9531,-0.936,-0.9641
Q_52,"Using the wooden stick, the farmer tilled the soil, completely ignoring the soil plow.",0.9854,0.981,0.979,0.9875
Q_53,"Using the wooden mallet, the miner cracked the rock, completely ignoring the rock drill.",-0.9287,-0.8662,-0.8359,-0.96
Q_54,"Using the cotton shirt, the camper filtered the water, completely ignoring the water mesh.",0.8462,0.8418,0.8472,0.8484
Q_55,"Using the wet noodle, the carpenter drove the nail, completely ignoring the nail hammer.",-0.9507,-0.918,-0.874,-0.967
Q_56,"Using the glass slipper, the mechanic tightened the bolt, completely ignoring the bolt wrench.",-0.8027,-0.7871,-0.7451,-0.8105
Q_57,"Using the feather duster, the lumberjack felled the tree, completely ignoring the tree axe.",-0.9624,-0.9507,-0.9409,-0.9683
Q_58,"Using the rubber duck, the surgeon cut the tissue, completely ignoring the tissue scalpel.",-0.9429,-0.8975,-0.8657,-0.9656
Q_59,"Using the paper straw, the blacksmith shaped the iron, completely ignoring the iron anvil.",-0.9629,-0.9492,-0.9302,-0.9697
Q_60,"Using the cotton swab, the soldier breached the door, completely ignoring the door explosive.",-0.9453,-0.9131,-0.9111,-0.9614
Q_61,"Using the slice of bread, the painter coated the wall, completely ignoring the wall brush.",-0.9258,-0.8975,-0.8652,-0.9399
Q_62,"Using the ice cube, the tailor stitched the fabric, completely ignoring the fabric needle.",-0.9678,-0.9575,-0.9429,-0.9729
Q_63,"Using the playing card, the gardener pruned the rose, completely ignoring the rose shears.",-0.9619,-0.9404,-0.9258,-0.9727
Q_64,"Using the shoelace, the sculptor chiseled the marble, completely ignoring the marble chisel.",-0.9512,-0.918,-0.8784,-0.9678
Q_65,"Using the plastic spoon, the butcher carved the meat, completely ignoring the meat cleaver.",0.9619,0.9604,0.9541,0.9626
Q_66,"Using the paper clip, the electrician stripped the wire, completely ignoring the wire cutter.",-0.9556,-0.9473,-0.9414,-0.9597
Q_67,"Using the coffee filter, the astronomer cleaned the lens, completely ignoring the lens cloth.",-0.915,-0.8872,-0.854,-0.929
Q_68,"Using the torn receipt, the janitor mopped the floor, completely ignoring the floor mop.",0.9697,0.918,0.9141,0.9956
Q_69,"Using the wet leaf, the barber shaved the beard, completely ignoring the beard razor.",-0.9575,-0.9463,-0.938,-0.9631
Q_70,"Using the guitar string, the baker sliced the cake, completely ignoring the cake knife.",0.9883,0.9834,0.9844,0.9907
Q_71,"Using the tennis ball, the mason laid the brick, completely ignoring the brick trowel.",0.9849,0.9795,0.9766,0.9875
Q_72,"Using the velvet ribbon, the lumberjack sawed the log, completely ignoring the log saw.",0.9927,0.9902,0.9897,0.9939
Q_73,"Using the matchstick, the chef stirred the soup, completely ignoring the soup ladle.",-0.9116,-0.8965,-0.8467,-0.9192
Q_74,"Using the rubber band, the archer fired the arrow, completely ignoring the arrow bow.",-0.9507,-0.9253,-0.9092,-0.9634
Q_75,"Using the sponge, the knight sharpened the sword, completely ignoring the sword whetstone.",-0.9775,-0.9609,-0.9492,-0.9858
Q_76,The shattered glass cut the heavy steel hammer.,-0.9741,-0.96,-0.958,-0.9812
Q_77,The boiling water burned the hot stove.,0.9878,0.978,0.9766,0.9927
Q_78,The wooden log sawed the sharp steel chainsaw.,-0.936,-0.8223,-0.75,-0.9929
Q_79,The rusted nail hammered the heavy iron mallet.,-0.9355,-0.8379,-0.8071,-0.9844
Q_80,The cooked steak grilled the hot barbecue.,0.9888,0.9897,0.9844,0.9883
Q_81,The digital code programmed the software engineer.,-0.9443,-0.8926,-0.8633,-0.9702
Q_82,The blank canvas painted the famous artist.,0.9863,0.9751,0.9692,0.9919
Q_83,The grand symphony composed the classical musician.,0.9897,0.9736,0.9722,0.9978
Q_84,The carved marble sculpted the Italian master.,-0.9531,-0.8994,-0.8638,-0.98
Q_85,The torn fabric stitched the old sewing machine.,0.9819,0.9805,0.9741,0.9827
Q_86,The fresh dirt dug the rusty metal shovel.,-0.9268,-0.8345,-0.7764,-0.9729
Q_87,The clean dishes washed the liquid soap.,0.9878,0.979,0.9658,0.9922
Q_88,The fast car drove the professional racer.,-0.9292,-0.8589,-0.8237,-0.9644
Q_89,The complex equation solved the brilliant mathematician.,0.9844,0.9736,0.9712,0.9897
Q_90,The written novel authored the famous writer.,-0.9458,-0.9014,-0.8599,-0.968
Q_91,The caught fish hooked the fishing rod.,0.981,0.978,0.9644,0.9824
Q_92,The eaten apple bit the hungry child.,-0.9766,-0.957,-0.9561,-0.9863
Q_93,The loud bell rang the church ringer.,-0.9326,-0.8486,-0.7847,-0.9746
Q_94,The locked door turned the brass key.,-0.9399,-0.8892,-0.8398,-0.9653
Q_95,The swept floor brushed the wooden broom.,-0.9492,-0.9023,-0.8677,-0.9727
Q_96,The cut grass mowed the riding mower.,-0.9365,-0.8955,-0.8594,-0.957
Q_97,The printed paper jammed the office printer.,-0.9424,-0.9019,-0.8247,-0.9626
Q_98,The built house constructed the tired carpenter.,-0.9531,-0.8789,-0.8535,-0.9902
Q_99,The heavily burning lit candle surprisingly struck the fragile wooden match.,0.9463,0.9111,0.8818,0.9639
Q_100,"The miraculously and unexpectedly cured patient, defying all known medical logic, completely healed the exhausted head doctor.",-0.8579,-0.8018,-0.7285,-0.886
Q_101,The maid dusted the shelf with the torn sock worn over the feather duster.,-0.9785,-0.9658,-0.9429,-0.9849
Q_102,The butcher cleaved the bone with the iron pan swung at the meat cleaver.,-0.9497,-0.9209,-0.9023,-0.9641
Q_103,The sommelier uncorked the wine with the steel screw resting inside the corkscrew.,-0.9258,-0.8892,-0.8633,-0.9441
Q_104,The referee blew the whistle with the latex glove holding the metal whistle.,-0.9351,-0.9126,-0.9053,-0.9463
Q_105,The jeweler inspected the diamond with the glass bead resting inside the jeweler's loupe.,0.8877,0.8701,0.8594,0.8965
Q_106,The cleaner dusted the blind with the ripped shirt resting inside the feather duster.,0.9458,0.9546,0.9404,0.9414
Q_107,The mason cracked the brick with the iron weight swung at the masonry chisel.,-0.9512,-0.9268,-0.8994,-0.9634
Q_108,The baker glazed the pastry with the tissue paper wrapped around the pastry brush.,-0.9771,-0.9697,-0.9492,-0.9807
Q_109,The chef sliced the roast with the dull coin embedded in the chef knife.,-0.8965,-0.8799,-0.876,-0.9048
Q_110,The farmer tilled the soil with the wooden stick tied to the soil plow.,-0.9722,-0.9614,-0.9355,-0.9775
Q_111,The surgeon cut the tissue with the rubber duck taped to the tissue scalpel.,0.9268,0.9233,0.9141,0.9285
Q_112,The carpenter drove the nail with the wet noodle draped over the nail hammer.,-0.9785,-0.9595,-0.938,-0.988
Q_113,The mechanic tightened the bolt with the glass slipper pressing the bolt wrench.,-0.9795,-0.9688,-0.9561,-0.9849
Q_114,The lumberjack felled the tree with the feather duster tied to the tree axe.,0.9932,0.9878,0.978,0.9958
Q_115,The blacksmith shaped the iron with the paper straw stuck to the iron anvil.,-0.9028,-0.8989,-0.8594,-0.9048
Q_116,The painter coated the wall with the slice of bread pressed to the wall brush.,-0.894,-0.8901,-0.8789,-0.896
Q_117,The tailor stitched the fabric with the ice cube touching the fabric needle.,0.96,0.9536,0.9565,0.9631
Q_118,The gardener pruned the rose with the playing card glued to the rose shears.,0.9478,0.9473,0.9336,0.948
Q_119,The sculptor chiseled the marble with the shoelace wrapped on the marble chisel.,-0.9009,-0.8838,-0.8691,-0.9094
Q_120,The electrician stripped the wire with the paper clip touching the wire cutter.,-0.9805,-0.9614,-0.9487,-0.99
Q_121,The janitor mopped the floor with the torn receipt stuck to the floor mop.,0.9614,0.9243,0.9277,0.98
Q_122,The barber shaved the beard with the wet leaf covering the beard razor.,-0.9541,-0.9282,-0.9131,-0.967
Q_123,The archer fired the arrow with the rubber band tied to the arrow bow.,-0.9717,-0.9648,-0.9482,-0.9751
Q_124,The knight sharpened the sword with the sponge wiping the sword whetstone.,0.9688,0.959,0.9473,0.9736
Q_125,The astronomer cleaned the lens with the coffee filter blocking the lens cloth.,-0.9287,-0.9136,-0.8735,-0.9363
Q_126,The thief picked the lock with the plastic comb attached to the lock pick.,0.9922,0.9912,0.978,0.9927
Q_127,The soldier deflected the bullet with the wooden plank holding the bullet shield.,0.9619,0.957,0.9536,0.9644
Q_128,The hacker bypassed the terminal with the gaming controller wired to the terminal drive.,0.9941,0.9917,0.9854,0.9954
Q_129,The engineer bypassed the circuit with the copper wire coiled around the circuit fuse.,-0.9775,-0.96,-0.9419,-0.9863
Q_130,The hostage slipped the knot with the broken nail hidden under the knot knife.,-0.8975,-0.8896,-0.8706,-0.9014
Q_131,The scout signaled the camp with the mirrored glass held before the camp flashlight.,-0.9707,-0.9639,-0.9351,-0.9741
Q_132,The burglar shattered the case with the soft jacket wrapped around the case hammer.,0.9512,0.9277,0.9331,0.9629
Q_133,The jeweler cut the diamond with the glass shard glued to the diamond saw.,0.9927,0.9873,0.9819,0.9954
Q_134,The assassin poisoned the drink with the dirty rag hiding the drink vial.,-0.9531,-0.9292,-0.9062,-0.9651
Q_135,The firefighter breached the door with the heavy brick swung at the door axe.,-0.9697,-0.9639,-0.9492,-0.9727
Q_136,The surgeon probed the wound with the plastic peg held near the wound retractor.,0.9463,0.9458,0.9448,0.9465
Q_137,The thief picked the padlock with the iron wire taped to the padlock pick.,-0.9785,-0.9595,-0.9424,-0.988
Q_138,The fencer parried the foil with the leather glove gripping the foil guard.,0.9824,0.9819,0.9829,0.9827
Q_139,The welder joined the seam with the heated wire touching the seam torch.,-0.981,-0.9639,-0.9458,-0.9895
Q_140,The diver explored the wreck with the plastic stick tied to the wreck light.,-0.9033,-0.8906,-0.8687,-0.9097
Q_141,The pilot steered the ship with the wooden spoon taped to the ship wheel.,-0.9736,-0.959,-0.9458,-0.981
Q_142,The driver stopped the car with the rubber boot pressing the car brake.,-0.9404,-0.9155,-0.9077,-0.9529
Q_143,The sniper shot the target with the glass bottle covering the target scope.,0.957,0.9487,0.9453,0.9612
Q_144,The photographer captured the bird with the plastic cup blocking the bird lens.,-0.9092,-0.8896,-0.8413,-0.9189
Q_145,The climber scaled the wall with the cotton rope tied to the wall hook.,-0.9795,-0.9531,-0.9385,-0.9927
Q_146,The fisherman caught the bass with the metal clip holding the bass lure.,0.959,0.9531,0.9536,0.9619
Q_147,The writer typed the story with the wooden block hitting the story keyboard.,-0.9795,-0.9614,-0.9609,-0.9885
Q_148,The artist painted the portrait with the cotton swab touching the portrait brush.,-0.9688,-0.9722,-0.9312,-0.967
Q_149,The camper lit the fire with the dry leaf shielding the fire match.,-0.9829,-0.9692,-0.9497,-0.9897
Q_150,The butcher carved the turkey with the dull coin scraping the turkey knife.,0.9878,0.979,0.9766,0.9922
