Query String,Sentence,Ambiguity Signature Class,Ground-Truth Contextual Target,Conflicting Classical Parse Output,SpaCy_Raw_Pred,SpaCy_Routed_Context,SpaCy_Generated_Answer,SpaCy_CtxRel,SpaCy_Faith,SpaCy_AnsRel,Agentic_Raw_Pred,Agentic_Routed_Context,Agentic_Generated_Answer,Agentic_CtxRel,Agentic_Faith,Agentic_AnsRel,Quantum_Raw_Pred,Quantum_Routed_Context,Quantum_Generated_Answer,Quantum_CtxRel,Quantum_Faith,Quantum_AnsRel,Quantum_Outperformed_SpaCy,Quantum_Outperformed_Agentic,VIOLA_MOMENT
Who provides the guidance?,The wise guide the youth.,Garden Path,The wise.,The wise guide.,0,The wise guide.,The wise guide.,48.1793212890625,100.0,48.1793212890625,0,The wise guide.,The wise guide provides the guidance.,48.1793212890625,81.80673217773438,69.51219177246094,1,The wise.,The wise.,18.042558670043945,100.0,18.042558670043945,True,True,True
Who reaches the top?,The tall reach the top.,Garden Path,The tall.,The tall reach.,0,The tall reach.,The tall reach.,58.45528793334961,100.0,58.45528793334961,0,The tall reach.,The tall reach.,58.45528793334961,100.0,58.45528793334961,1,The tall.,The tall.,51.61737060546875,100.0000228881836,51.61737060546875,True,True,True
Who is winning the race?,The swift win the race.,Garden Path,The swift is the target for: who is winning the race?,win..,1,The swift is the target for: who is winning the race?,The swift is.,65.62113952636719,68.32657623291016,20.4825496673584,1,The swift is the target for: who is winning the race?,The swift is.,65.62113952636719,68.32657623291016,20.4825496673584,1,The swift is the target for: who is winning the race?,The swift is.,65.62113952636719,68.32657623291016,20.4825496673584,False,False,False
Who commands the market?,The elite control the market.,Garden Path,The elite.,The elite control.,0,The elite control.,The elite commands the market.,32.35688781738281,66.99397277832031,68.57774353027344,0,The elite control.,The elite commands the market.,32.35688781738281,66.99397277832031,68.57774353027344,1,The elite.,The elite commands the market.,21.06906509399414,68.98786163330078,68.57774353027344,True,True,True
Who is haunting the castle?,The dead haunt the castle.,Garden Path,The dead.,The dead haunt.,0,The dead haunt.,The dead.,49.297393798828125,74.92383575439453,34.447723388671875,0,The dead haunt.,The dead.,49.297393798828125,74.92383575439453,34.447723388671875,1,The dead.,The dead.,34.447723388671875,100.00001525878906,34.447723388671875,True,True,True
Who is consuming the bread?,The hungry eat the bread.,Garden Path,The hungry is the target for: who is consuming the bread?,eat..,1,The hungry is the target for: who is consuming the bread?,The hungry is the target for who is consuming the bread.,81.60359954833984,95.4326171875,78.226318359375,1,The hungry is the target for: who is consuming the bread?,The hungry is the target for who is consuming the bread.,81.60359954833984,95.4326171875,78.226318359375,1,The hungry is the target for: who is consuming the bread?,The hungry is consuming the bread.,81.60359954833984,84.40128326416016,81.8764419555664,False,False,False
Who provides the funding?,The rich fund the charity.,Garden Path,The rich.,The rich fund.,0,The rich fund.,The rich fund.,60.78189468383789,100.00001525878906,60.78189468383789,0,The rich fund.,The rich fund.,60.78189468383789,100.00001525878906,60.78189468383789,1,The rich.,The rich provide the funding.,38.50060272216797,60.92913055419922,73.0243148803711,True,True,True
Who initiates the charge?,The brave charge the enemy.,Garden Path,The brave.,The brave charge.,0,The brave charge.,The brave charge.,52.66659164428711,100.00001525878906,52.66659164428711,0,The brave charge.,The brave charge.,52.66659164428711,100.00001525878906,52.66659164428711,1,The brave.,The brave initiates the charge.,16.351696014404297,62.91971206665039,63.29227828979492,True,True,True
Who is missing the resources?,The poor lack the resources.,Garden Path,The poor is the target for: who is missing the resources?,lack..,1,The poor is the target for: who is missing the resources?,The poor is the target for: who is missing the resources?,68.99018859863281,100.0,68.99018859863281,1,The poor is the target for: who is missing the resources?,The poor is the target for who is missing the resources?,68.99018859863281,98.1956024169922,71.1931381225586,1,The poor is the target for: who is missing the resources?,The poor is the target for: who is missing the resources?,68.99018859863281,100.0,68.99018859863281,False,False,False
Who attempts the impossible?,The bold dare the impossible.,Garden Path,The bold.,The bold dare.,0,The bold dare.,The bold dare.,23.78295516967773,100.0,23.78295516967773,1,The bold.,The bold.,18.856502532958984,100.00001525878906,18.856502532958984,1,The bold.,The bold.,18.856502532958984,100.00001525878906,18.856502532958984,True,False,False
Who experiences the consequences?,The innocent suffer the consequences.,Garden Path,The innocent.,The innocent suffer.,0,The innocent suffer.,The innocent.,44.756568908691406,79.0744400024414,35.35482406616211,0,The innocent suffer.,The innocent.,44.756568908691406,79.0744400024414,35.35482406616211,1,The innocent.,The innocent.,35.35482406616211,99.99999237060548,35.35482406616211,True,True,True
Who is serving the sentence?,The guilty serve the sentence.,Garden Path,The guilty is the target for: who is serving the sentence?,serve..,1,The guilty is the target for: who is serving the sentence?,The guilty is serving the sentence.,75.41361236572266,91.16387176513672,71.9066390991211,1,The guilty is the target for: who is serving the sentence?,The guilty is serving the sentence.,75.41361236572266,91.16387176513672,71.9066390991211,1,The guilty is the target for: who is serving the sentence?,The guilty is serving the sentence.,75.41361236572266,91.16387176513672,71.9066390991211,False,False,False
Who is roaming the plains?,The free roam the plains.,Garden Path,The free.,The free roam.,0,The free roam.,The free roam.,43.58544921875,100.00001525878906,43.58544921875,0,The free roam.,The free roam.,43.58544921875,100.00001525878906,43.58544921875,1,The free.,The free.,15.60324001312256,100.0,15.60324001312256,True,True,True
Who is roaming the forest?,The wild roam the forest.,Garden Path,The wild.,The wild roam.,0,The wild roam.,The wild roam.,54.42035675048828,100.0,54.42035675048828,0,The wild roam.,The wild roam.,54.42035675048828,100.0,54.42035675048828,1,The wild.,The wild.,46.8264045715332,100.0,46.8264045715332,True,True,True
Who performs the cleansing?,The very profoundly deeply and incredibly extraordinarily faithful pure aggressively and continuously cleanse the eternal soul.,Garden Path,The pure is the target for: who performs the cleansing?,cleanse..,1,The pure is the target for: who performs the cleansing?,The pure is the target for the one who performs the cleansing.,77.75524139404297,93.68475341796876,63.95314407348633,1,The pure is the target for: who performs the cleansing?,The pure is the target for: the one who performs the cleansing.,77.75524139404297,96.2877960205078,70.07817840576172,1,The pure is the target for: who performs the cleansing?,The pure is the target for: the one who performs the cleansing.,77.75524139404297,96.2877960205078,70.07817840576172,False,False,False
Who shields the innocent?,The brave shield the innocent.,Garden Path,The brave.,The brave shield.,0,The brave shield.,The brave shield.,46.61304473876953,100.0,46.61304473876953,0,The brave shield.,The brave shield.,46.61304473876953,100.0,46.61304473876953,1,The brave.,The brave.,36.88608932495117,100.00001525878906,36.88608932495117,True,True,True
Who forces the issue?,The strong force the issue.,Garden Path,The strong.,The strong force.,0,The strong force.,The strong force forces the issue.,40.99567413330078,78.75272369384766,60.70966720581055,0,The strong force.,The strong force forces the issue.,40.99567413330078,78.75272369384766,60.70966720581055,1,The strong.,The strong.,26.68402099609375,100.0,26.68402099609375,True,True,True
Who taxes the poor?,The rich tax the poor.,Garden Path,The rich is the target for: who taxes the poor?,tax..,1,The rich is the target for: who taxes the poor?,The rich is the target for: who taxes the poor?,90.43457794189452,100.00001525878906,90.43457794189452,1,The rich is the target for: who taxes the poor?,The rich.,90.43457794189452,58.0577392578125,55.108497619628906,1,The rich is the target for: who taxes the poor?,The rich is the target for: who taxes the poor?,90.43457794189452,100.00001525878906,90.43457794189452,False,False,False
Who budgets the money?,The poor budget their money.,Garden Path,The poor.,The poor budget.,0,The poor budget.,The poor budget.,71.97002410888672,100.0,71.97002410888672,0,The poor budget.,The poor budget.,71.97002410888672,100.0,71.97002410888672,1,The poor.,The poor.,50.11530685424805,100.00001525878906,50.11530685424805,True,True,True
Who minds their elders?,The young mind their elders.,Garden Path,The young.,The young mind.,0,The young mind.,The young mind.,49.23116683959961,100.0,49.23116683959961,1,The young.,The young mind their elders.,34.73868560791016,61.00089645385742,79.55327606201172,1,The young.,The young minds their elders.,34.73868560791016,63.53499984741211,81.4250717163086,True,False,False
Who models the clothes?,The beautiful model the clothes.,Garden Path,The beautiful is the target for: who models the clothes?,model..,1,The beautiful is the target for: who models the clothes?,The beautiful is the target for: the model.,85.30656433105469,76.85943603515625,50.960880279541016,1,The beautiful is the target for: who models the clothes?,The beautiful is the target for: the model.,85.30656433105469,76.85943603515625,50.960880279541016,1,The beautiful is the target for: who models the clothes?,The beautiful is the target for: the model.,85.30656433105469,76.85943603515625,50.960880279541016,False,False,False
Who tricks the gullible?,The smart trick the gullible.,Garden Path,The smart.,The smart trick.,0,The smart trick.,The smart trick.,53.24239730834961,100.00001525878906,53.24239730834961,0,The smart trick.,The smart trick.,53.24239730834961,100.00001525878906,53.24239730834961,1,The smart.,The smart trick the gullible.,43.42335510253906,60.92169952392578,82.0951919555664,True,True,True
Who risks their lives?,The bold risk their lives.,Garden Path,The bold.,The bold risk.,0,The bold risk.,The bold risk.,51.47572708129883,100.00001525878906,51.47572708129883,1,The bold.,The bold.,20.98768615722656,100.00001525878906,20.98768615722656,1,The bold.,The bold.,20.98768615722656,100.00001525878906,20.98768615722656,True,False,False
Who judges the competition?,The fair judge the competition.,Garden Path,The fair is the target for: who judges the competition?,judge..,1,The fair is the target for: who judges the competition?,The fair is the target for: the judges.,81.17179870605469,86.44364166259766,59.36381149291992,1,The fair is the target for: who judges the competition?,The fair is the target for: the judges.,81.17179870605469,86.44364166259766,59.36381149291992,1,The fair is the target for: who judges the competition?,The fair is the target for: the judges.,81.17179870605469,86.44364166259766,59.36381149291992,False,False,False
Who curses their enemies?,The evil curse their enemies.,Garden Path,The evil.,The evil curse.,0,The evil curse.,The evil curse.,60.57487869262695,100.0000228881836,60.57487869262695,0,The evil curse.,The evil curse.,60.57487869262695,100.0000228881836,60.57487869262695,1,The evil.,The evil.,42.81407165527344,100.0000228881836,42.81407165527344,True,True,True
Who benefits the most?,The good benefit the most.,Garden Path,The good.,The good benefit.,0,The good benefit.,The good benefit.,50.12570571899414,100.0,50.12570571899414,0,The good benefit.,The good benefit.,50.12570571899414,100.0,50.12570571899414,1,The good.,The good benefits the most.,21.043922424316406,39.909942626953125,71.2339859008789,True,True,True
Who weathers the storm?,The cold weather the storm.,Garden Path,The cold is the target for: who weathers the storm?,weather..,1,The cold is the target for: who weathers the storm?,The cold is the target for: the cold.,78.6043930053711,76.74415588378906,38.0752067565918,1,The cold is the target for: who weathers the storm?,The cold is the target for: the cold.,78.6043930053711,76.74415588378906,38.0752067565918,1,The cold is the target for: who weathers the storm?,The cold is the target for: the cold.,78.6043930053711,76.74415588378906,38.0752067565918,False,False,False
Who gifts the future?,The present gifts the future.,Garden Path,The present.,The present gifts.,0,The present gifts.,The present gifts the future.,68.55682373046875,86.84815979003906,83.48741912841797,0,The present gifts.,The present gifts the future.,68.55682373046875,86.84815979003906,83.48741912841797,1,The present.,We gift the future.,54.20595550537109,50.915992736816406,77.76596069335938,True,True,True
Who voices their opinions?,The loud voice their opinions.,Garden Path,The loud.,The loud voice.,0,The loud voice.,The loud voice.,42.92498397827149,100.00001525878906,42.92498397827149,0,The loud voice.,The loud voice.,42.92498397827149,100.00001525878906,42.92498397827149,1,The loud.,The loud.,29.728364944458008,100.0,29.728364944458008,True,True,True
Who parades their achievements?,The proud parade their achievements.,Garden Path,The proud is the target for: who parades their achievements?,parade..,1,The proud is the target for: who parades their achievements?,The proud is the target for the proud.,83.3231430053711,81.67874145507812,48.11329650878906,1,The proud is the target for: who parades their achievements?,The proud is the target for the proud.,83.3231430053711,81.67874145507812,48.11329650878906,1,The proud is the target for: who parades their achievements?,The proud is the target for the proud.,83.3231430053711,81.67874145507812,48.11329650878906,False,False,False
Who yields the right of way?,The weak yield the right of way.,Garden Path,The weak.,The weak yield.,0,The weak yield.,The weak yield.,23.95507049560547,99.99998474121094,23.95507049560547,0,The weak yield.,The driver yields the right of way.,23.95507049560547,12.071017265319824,64.31978607177734,1,The weak.,The weak.,9.621020317077637,100.00001525878906,9.621020317077637,True,True,True
Who nurses their wounds?,The sick nurse their wounds.,Garden Path,The sick.,The sick nurse.,0,The sick nurse.,The sick nurse nurses their wounds.,64.9884033203125,84.10542297363281,84.52069091796875,0,The sick nurse.,The sick nurse nurses their wounds.,64.9884033203125,84.10542297363281,84.52069091796875,1,The sick.,The angels.,29.57487678527832,42.24181365966797,27.91352272033692,True,True,True
Who exercises their rights?,The healthy exercise their rights.,Garden Path,The healthy is the target for: who exercises their rights?,exercise..,1,The healthy is the target for: who exercises their rights?,The healthy exercises their rights.,63.87655258178711,91.4434585571289,63.35628128051758,1,The healthy is the target for: who exercises their rights?,The healthy exercises their rights.,63.87655258178711,91.4434585571289,63.35628128051758,1,The healthy is the target for: who exercises their rights?,The healthy exercises their rights.,63.87655258178711,91.4434585571289,63.35628128051758,False,False,False
Who rests their eyes?,The tired rest their eyes.,Garden Path,The tired.,The tired rest.,0,The tired rest.,The tired rest.,47.8382568359375,100.00001525878906,47.8382568359375,0,The tired rest.,The tired rest.,47.8382568359375,100.00001525878906,47.8382568359375,1,The tired.,The tired.,37.669132232666016,99.99999237060548,37.669132232666016,True,True,True
Who trusts the stranger?,The innocent trust the stranger.,Garden Path,The innocent.,The innocent trust.,0,The innocent trust.,The innocent.,53.649024963378906,70.02044677734375,37.270145416259766,0,The innocent trust.,The innocent trust.,53.649024963378906,100.0,53.649024963378906,1,The innocent.,The innocent.,37.270145416259766,99.99999237060548,37.270145416259766,True,True,True
Who questions the verdict?,The guilty question the verdict.,Garden Path,The guilty is the target for: who questions the verdict?,question..,1,The guilty is the target for: who questions the verdict?,The guilty is the target for: the accused.,87.6497573852539,78.16695404052734,52.42793655395508,1,The guilty is the target for: who questions the verdict?,The guilty is the target for: the accused.,87.6497573852539,78.16695404052734,52.42793655395508,1,The guilty is the target for: who questions the verdict?,The guilty is the target for: the accused.,87.6497573852539,78.16695404052734,52.42793655395508,False,False,False
Who returns the favor?,The dead return the favor.,Garden Path,The dead.,The dead return.,0,The dead return.,The dead return the favor.,42.303199768066406,83.13053894042969,68.02803039550781,0,The dead return.,The dead return the favor.,42.303199768066406,83.13053894042969,68.02803039550781,1,The dead.,The dead.,30.25457763671875,100.00001525878906,30.25457763671875,True,True,True
Who experiences the world?,The living experience the world.,Garden Path,The living.,The living experience.,0,The living experience.,The individual.,54.851470947265625,33.447940826416016,29.293636322021484,0,The living experience.,The living being.,54.851470947265625,67.00768280029297,42.61783218383789,1,The living.,The living.,42.61101150512695,100.00001525878906,42.61101150512695,True,True,True
Who finances the operation?,The wealthy finance the operation.,Garden Path,The wealthy is the target for: who finances the operation?,finance..,1,The wealthy is the target for: who finances the operation?,The wealthy is the target for: the investors.,78.3523178100586,72.53901672363281,34.21857070922852,1,The wealthy is the target for: who finances the operation?,The wealthy is the target for: the wealthy.,78.3523178100586,72.1913070678711,27.8808822631836,1,The wealthy is the target for: who finances the operation?,The wealthy is the target for: the investors.,78.3523178100586,72.53901672363281,34.21857070922852,False,False,False
Who busts the safe?,The broke bust the safe.,Garden Path,The broke.,The broke bust.,0,The broke bust.,The.,55.18325424194336,29.82027244567871,30.685352325439453,0,The broke bust.,The.,55.18325424194336,29.82027244567871,30.685352325439453,1,The broke.,The.,28.00540351867676,47.75170516967773,30.685352325439453,True,True,True
Who triumphs over adversity?,The successful triumph over adversity.,Garden Path,The successful.,The successful triumph.,0,The successful triumph.,The successful triumph.,48.321102142333984,100.00001525878906,48.321102142333984,0,The successful triumph.,The successful triumph.,48.321102142333984,100.00001525878906,48.321102142333984,1,The successful.,The successful.,26.568523406982425,100.00001525878906,26.568523406982425,True,True,True
Who searches for meaning?,The lost search for meaning.,Garden Path,The lost is the target for: who searches for meaning?,search..,1,The lost is the target for: who searches for meaning?,The lost.,68.84668731689453,61.73830032348633,22.152238845825195,1,The lost is the target for: who searches for meaning?,The lost.,68.84668731689453,61.73830032348633,22.152238845825195,1,The lost is the target for: who searches for meaning?,The lost.,68.84668731689453,61.73830032348633,22.152238845825195,False,False,False
Who treasures the moment?,The found treasure the moment.,Garden Path,The found.,The found treasure.,0,The found treasure.,The found treasure.,59.66315460205078,100.0,59.66315460205078,0,The found treasure.,The found treasure.,59.66315460205078,100.0,59.66315460205078,1,The found.,The found treasures the moment.,28.0177001953125,46.78925704956055,81.50183868408203,True,True,True
Who caches the weapons?,The hidden cache the weapons.,Garden Path,The hidden.,The hidden cache.,0,The hidden cache.,The hidden cache.,55.848968505859375,100.0,55.848968505859375,0,The hidden cache.,The hidden cache.,55.848968505859375,100.0,55.848968505859375,0,The hidden cache.,The hidden cache.,55.848968505859375,100.0,55.848968505859375,False,False,False
Who names the suspects?,The known name the suspects.,Garden Path,The known is the target for: who names the suspects?,name..,1,The known is the target for: who names the suspects?,The known.,86.42459869384766,39.45812225341797,25.06536293029785,1,The known is the target for: who names the suspects?,The known.,86.42459869384766,39.45812225341797,25.06536293029785,1,The known is the target for: who names the suspects?,The known.,86.42459869384766,39.45812225341797,25.06536293029785,False,False,False
Who codes the message?,The secret code the message.,Garden Path,The secret.,The secret code.,0,The secret code.,"The secret code does not provide information about who codes the message, so the answer is unknown.",54.47643280029297,68.80459594726562,77.48594665527344,0,The secret code.,The secret code does not specify who codes the message.,54.47643280029297,64.67131042480469,75.04093933105469,1,The secret.,The secret.,20.307241439819336,100.0,20.307241439819336,True,True,True
Who books the flights?,The open book the flights.,Garden Path,The open.,The open book.,0,The open book.,The answer cannot be determined from the provided context.,43.25697708129883,15.663686752319336,11.788825988769531,1,The open.,The open.,28.195985794067383,100.0,28.195985794067383,1,The open.,The open.,28.195985794067383,100.0,28.195985794067383,True,False,False
Who doors the reporters?,The closed door the reporters.,Garden Path,The closed is the target for: who doors the reporters?,door..,1,The closed is the target for: who doors the reporters?,The closed is the target for: who doors the reporters?,85.05204010009766,100.0,85.05204010009766,1,The closed is the target for: who doors the reporters?,The closed is the target for: who doors the reporters?,85.05204010009766,100.0,85.05204010009766,1,The closed is the target for: who doors the reporters?,The closed is the target for: who doors the reporters?,85.05204010009766,100.0,85.05204010009766,False,False,False
What dawns a new day?,The early dawn a new day.,Garden Path,The early.,The early dawn.,0,The early dawn.,The early dawn.,58.10252380371094,100.0,58.10252380371094,0,The early dawn.,The early dawn.,58.10252380371094,100.0,58.10252380371094,1,The early.,The sun.,35.858768463134766,30.24028778076172,41.25935745239258,True,True,True
Who delays the train?,The late delay the train.,Garden Path,The late.,The late delay.,0,The late delay.,The late delay.,54.525352478027344,100.0,54.525352478027344,0,The late delay.,The late delay.,54.525352478027344,100.0,54.525352478027344,1,The late.,The late.,31.6983585357666,100.0,31.6983585357666,True,True,True
Who replies to the message?,The prompt reply to the message.,Garden Path,The prompt is the target for: who replies to the message?,reply..,1,The prompt is the target for: who replies to the message?,The prompt is the target for: who replies to the message?,81.98580932617188,100.0,81.98580932617188,1,The prompt is the target for: who replies to the message?,The prompt is the target for: who replies to the message?,81.98580932617188,100.0,81.98580932617188,1,The prompt is the target for: who replies to the message?,The prompt is the target for: the sender of the message.,81.98580932617188,86.55567169189453,57.4167366027832,False,False,False
Who drags the heavy boxes?,The slow drag the heavy boxes.,Garden Path,The slow.,The slow drag.,0,The slow drag.,The slow drag.,49.67157745361328,100.0,49.67157745361328,0,The slow drag.,The slow drag.,49.67157745361328,100.0,49.67157745361328,1,The slow.,The slow.,26.772537231445312,100.00001525878906,26.772537231445312,True,True,True
Who speeds through the town?,The fast speed through the town.,Garden Path,The fast.,The fast speed.,0,The fast speed.,The fast speed.,58.45693206787109,100.0,58.45693206787109,1,The fast.,The fast.,50.86411285400391,100.0,50.86411285400391,1,The fast.,The fast.,50.86411285400391,100.0,50.86411285400391,True,False,False
Who rushes the gates?,The quick rush the gates.,Garden Path,The quick is the target for: who rushes the gates?,rush..,1,The quick is the target for: who rushes the gates?,The quick is the target for: who rushes the gates?,85.33257293701172,100.00001525878906,85.33257293701172,1,The quick is the target for: who rushes the gates?,The quick is the target for: who rushes the gates?,85.33257293701172,100.00001525878906,85.33257293701172,1,The quick is the target for: who rushes the gates?,The quick is the target for: who rushes the gates?,85.33257293701172,100.00001525878906,85.33257293701172,False,False,False
Who paces the runners?,The steady pace the runners.,Garden Path,The steady.,The steady pace.,0,The steady pace.,The steady pace is paced by the runners.,42.17721939086914,70.69587707519531,73.31127166748047,0,The steady pace.,The steady pace is paces by the runners.,42.17721939086914,71.43993377685547,78.61434936523438,1,The steady.,The steady is the one who paces the runners.,25.285493850708008,59.87119674682617,75.20069122314453,True,True,True
Who zigzags across the field?,The erratic zigzag across the field.,Garden Path,The erratic.,The erratic zigzag.,0,The erratic zigzag.,The erratic zigzag.,48.06011962890625,100.0,48.06011962890625,0,The erratic zigzag.,The erratic zigzag.,48.06011962890625,100.0,48.06011962890625,1,The erratic.,The erratic.,24.32794952392578,100.0000228881836,24.32794952392578,True,True,True
Who silences the critics?,The quiet silence the critics.,Garden Path,The quiet is the target for: who silences the critics?,silence..,1,The quiet is the target for: who silences the critics?,The quiet is the target for: the quiet.,90.40045928955078,68.98571014404297,42.16355514526367,1,The quiet is the target for: who silences the critics?,The quiet is the target for: the quiet.,90.40045928955078,68.98571014404297,42.16355514526367,1,The quiet is the target for: who silences the critics?,The quiet is the target for: the quiet.,90.40045928955078,68.98571014404297,42.16355514526367,False,False,False
Who mutes the television?,The silent mute the television.,Garden Path,The silent.,The silent mute.,0,The silent mute.,The silent mute.,66.13584899902344,100.0,66.13584899902344,0,The silent mute.,The silent mute.,66.13584899902344,100.0,66.13584899902344,1,The silent.,The silent.,48.95962905883789,100.0,48.95962905883789,True,True,True
Who blasts the rock?,The deafening blast the rock.,Garden Path,The deafening.,The deafening blast.,0,The deafening blast.,The rock is blasted.,42.03889846801758,39.40097427368164,81.10003662109375,0,The deafening blast.,The rock blasts itself.,42.03889846801758,45.674076080322266,85.71753692626953,1,The deafening.,The deafening.,21.64076042175293,99.99999237060548,21.64076042175293,True,True,True
Who cloaks their movements?,The invisible cloak their movements.,Garden Path,The invisible is the target for: who cloaks their movements?,cloak..,1,The invisible is the target for: who cloaks their movements?,The invisible is the target for the one who cloaks their movements.,85.72926330566406,93.2277603149414,74.63005828857422,1,The invisible is the target for: who cloaks their movements?,The invisible is the target for the one who cloaks their movements.,85.72926330566406,93.2277603149414,74.63005828857422,1,The invisible is the target for: who cloaks their movements?,The invisible is the target for the ninja.,85.72926330566406,62.20530319213867,41.69001007080078,False,False,False
Who displays the products?,The visible display the products.,Garden Path,The visible.,The visible display.,0,The visible display.,The shelves display the products.,56.37875747680664,45.4515266418457,67.95111846923828,0,The visible display.,The shelves display the products.,56.37875747680664,45.4515266418457,67.95111846923828,1,The visible.,The store owner displays the products.,41.00037384033203,31.47509002685547,79.38255310058594,True,True,True
Who flashes the lights?,The bright flash the lights.,Garden Path,The bright.,The bright flash.,0,The bright flash.,The bright flash.,66.65127563476562,99.99999237060548,66.65127563476562,0,The bright flash.,The bright flash.,66.65127563476562,99.99999237060548,66.65127563476562,1,The bright.,The bright.,46.87096786499024,100.0,46.87096786499024,True,True,True
Who mattes the surface?,The dull matte the surface.,Garden Path,The dull is the target for: who mattes the surface?,matte..,1,The dull is the target for: who mattes the surface?,The dull is the target for: who mattes the surface?,76.88223266601562,100.0,76.88223266601562,1,The dull is the target for: who mattes the surface?,The dull is the target for: who mattes the surface?,76.88223266601562,100.0,76.88223266601562,1,The dull is the target for: who mattes the surface?,The dull is the target for: who mattes the surface?,76.88223266601562,100.0,76.88223266601562,False,False,False
