Query_ID,Sentence,Unmitigated E(θ),Mitigated E(θ) (TREX),Probability Drift (ΔE),Unmitigated_Success,Mitigated_Success
Q_135,The humble bow to the queen.,0.7464,0.7653,0.0189,0,0
Q_136,The rich bankroll the project.,0.944,0.9839,0.0399,1,1
Q_137,The poor beg for scraps.,0.7573,0.7773,0.02,0,0
Q_138,The wealthy cash the checks.,0.7942,0.8182,0.024,1,1
Q_139,The broke pawn their watches.,0.8851,0.9187,0.0336,1,1
Q_140,The fortunate luck into money.,0.7215,0.7377,0.0162,0,0
Q_141,The unlucky fail the exam.,0.8382,0.8668,0.0286,1,1
Q_142,The happy smile at strangers.,-0.9246,-0.9624,0.0378,1,1
Q_143,The sad cry for help.,0.6914,0.7044,0.013,0,0
Q_144,The angry rage against the machine.,0.8348,0.8631,0.0283,1,1
Q_145,The calm still the waters.,0.8408,0.8697,0.0289,1,1
Q_146,The excited cheer the team.,0.8825,0.9158,0.0333,1,1
Q_147,The bored yawn through the lecture.,0.721,0.7372,0.0162,0,0
Q_148,The beautiful charm the host.,0.7144,0.7299,0.0155,0,0
Q_149,The ugly scare the children.,0.8618,0.8929,0.0311,1,1
Q_150,The pretty paint their faces.,0.8438,0.873,0.0292,1,1
Q_151,The handsome groom their horses.,0.84,0.8688,0.0288,1,1
Q_152,The attractive lure the prey.,0.8477,0.8773,0.0296,1,1
Q_153,The foul stink up the room.,0.7656,0.7865,0.0209,0,0
Q_154,The clean mop the floors.,0.8386,0.8673,0.0287,1,1
Q_155,The dirty smear the walls.,0.8434,0.8726,0.0292,1,1
Q_156,The neat tidy the desk.,0.7629,0.7835,0.0206,0,0
Q_157,The messy clutter the workspace.,0.9693,1.0,0.0307,1,1
Q_158,The organized file the paperwork.,0.8579,0.8886,0.0307,1,1
Q_159,The chaotic ruin the plan.,0.7247,0.7413,0.0166,0,0
Q_160,The tall scale the wall.,0.8725,0.9048,0.0323,1,1
Q_161,The short duck the branches.,0.742,0.7604,0.0184,0,0
Q_162,The big bully the weak.,0.883,0.9164,0.0334,1,1
Q_163,The small sneak past the sentry.,0.9127,0.9492,0.0365,1,1
Q_164,The giant dwarf the buildings.,0.7543,0.774,0.0197,0,0
Q_165,The tiny squeak through the crack.,0.8971,0.932,0.0349,1,1
Q_166,The wide span the river.,0.853,0.8832,0.0302,1,1
Q_167,The narrow squeeze through the gap.,0.8858,0.9195,0.0337,1,1
Q_168,The broad smile at the joke.,0.9717,1.0,0.0283,1,1
Q_169,The thin slip through the bars.,0.8004,0.825,0.0246,1,1
Q_170,The fat waddle down the street.,0.7597,0.78,0.0203,0,0
Q_171,The round circle the wagons.,0.7488,0.7679,0.0191,0,0
Q_172,The flat level the playing field.,0.7547,0.7745,0.0198,0,0
Q_173,The sharp cut the tension.,0.8138,0.8398,0.026,1,1
Q_174,The dull blunt the impact.,0.8473,0.8769,0.0296,1,1
Q_175,The pointed spear the fish.,0.8421,0.8712,0.0291,1,1
Q_176,The smooth glide across the ice.,0.8862,0.9199,0.0337,1,1
Q_177,The rough grate the cheese.,0.821,0.8478,0.0268,1,1
Q_178,The slippery slide down the hill.,0.9363,0.9754,0.0391,1,1
Q_179,The sticky glue the pieces.,0.7988,0.8233,0.0245,1,1
Q_180,The dry parch the earth.,1.0,1.0,0.0,1,1
Q_181,The wet soak the sponges.,0.8701,0.9021,0.032,1,1
Q_182,The hot scorch the grass.,0.7514,0.7708,0.0194,0,0
Q_183,The cold freeze the pipes.,0.7343,0.7519,0.0176,0,0
Q_184,The warm melt the snow.,0.8586,0.8894,0.0308,1,1
Q_185,The freezing frost the glass.,0.8021,0.8269,0.0248,1,1
Q_186,The burning char the wood.,0.8771,0.9099,0.0328,1,1
Q_187,The glowing light the cavern.,0.8579,0.8886,0.0307,1,1
Q_188,The dark shadow the valley.,0.8142,0.8403,0.0261,1,1
Q_189,The bright blind the drivers.,0.7523,0.7718,0.0195,0,0
Q_190,The dim fade into obscurity.,0.6988,0.7126,0.0138,0,0
Q_191,The colorful dye the fabric.,0.7843,0.8072,0.0229,1,1
Q_192,The pale blanch the vegetables.,0.8885,0.9225,0.034,1,1
Q_193,The loud blast the stereo.,0.8371,0.8656,0.0285,1,1
Q_194,The quiet hush the baby.,0.7203,0.7364,0.0161,0,0
Q_195,The noisy racket the neighbors.,0.8339,0.8621,0.0282,1,1
Q_196,The silent gag the prisoner.,0.8508,0.8808,0.03,1,1
Q_197,The sweet sugar the tea.,0.7493,0.7685,0.0192,0,0
Q_198,The sour lemon the drink.,0.8323,0.8603,0.028,1,1
Q_199,The bitter poison the well.,0.8247,0.8519,0.0272,1,1
Q_200,The savory spice the meat.,0.7286,0.7456,0.017,0,0
Q_201,"Using the silk napkin, the chef crushed the garlic, completely ignoring the garlic press.",0.8486,0.8783,0.0297,1,1
Q_202,"Using the wooden stick, the farmer tilled the soil, completely ignoring the soil plow.",-0.8649,-0.8964,0.0315,1,1
Q_203,"Using the wooden mallet, the miner cracked the rock, completely ignoring the rock drill.",0.9066,0.9425,0.0359,1,1
Q_204,"Using the cotton shirt, the camper filtered the water, completely ignoring the water mesh.",0.9043,0.94,0.0357,1,1
Q_205,"Using the wet noodle, the carpenter drove the nail, completely ignoring the nail hammer.",0.7098,0.7248,0.015,0,0
Q_206,"Using the glass slipper, the mechanic tightened the bolt, completely ignoring the bolt wrench.",-0.745,-0.7637,0.0187,0,0
Q_207,"Using the feather duster, the lumberjack felled the tree, completely ignoring the tree axe.",-0.8612,-0.8923,0.0311,1,1
Q_208,"Using the rubber duck, the surgeon cut the tissue, completely ignoring the tissue scalpel.",0.8611,0.8922,0.0311,1,1
Q_209,"Using the paper straw, the blacksmith shaped the iron, completely ignoring the iron anvil.",-0.8612,-0.8923,0.0311,1,1
Q_210,"Using the cotton swab, the soldier breached the door, completely ignoring the door explosive.",1.0,1.0,0.0,1,1
Q_211,"Using the slice of bread, the painter coated the wall, completely ignoring the wall brush.",-0.8657,-0.8973,0.0316,1,1
Q_212,"Using the ice cube, the tailor stitched the fabric, completely ignoring the fabric needle.",0.9108,0.9472,0.0364,1,1
Q_213,"Using the playing card, the gardener pruned the rose, completely ignoring the rose shears.",-0.8963,-0.9311,0.0348,1,1
Q_214,"Using the shoelace, the sculptor chiseled the marble, completely ignoring the marble chisel.",-0.8721,-0.9043,0.0322,1,1
Q_215,"Using the plastic spoon, the butcher carved the meat, completely ignoring the meat cleaver.",0.7948,0.8188,0.024,1,1
Q_216,"Using the paper clip, the electrician stripped the wire, completely ignoring the wire cutter.",-0.8807,-0.9139,0.0332,1,1
Q_217,"Using the coffee filter, the astronomer cleaned the lens, completely ignoring the lens cloth.",0.7582,0.7783,0.0201,0,0
Q_218,"Using the torn receipt, the janitor mopped the floor, completely ignoring the floor mop.",0.8011,0.8258,0.0247,1,1
Q_219,"Using the wet leaf, the barber shaved the beard, completely ignoring the beard razor.",-0.7812,-0.8038,0.0226,1,1
Q_220,"Using the guitar string, the baker sliced the cake, completely ignoring the cake knife.",-0.8265,-0.8539,0.0274,1,1
Q_221,"Using the tennis ball, the mason laid the brick, completely ignoring the brick trowel.",1.0,1.0,0.0,1,1
Q_222,"Using the velvet ribbon, the lumberjack sawed the log, completely ignoring the log saw.",-0.6706,-0.6814,0.0108,0,0
Q_223,"Using the matchstick, the chef stirred the soup, completely ignoring the soup ladle.",0.8749,0.9074,0.0325,1,1
Q_224,"Using the rubber band, the archer fired the arrow, completely ignoring the arrow bow.",0.691,0.704,0.013,0,0
Q_225,"Using the sponge, the knight sharpened the sword, completely ignoring the sword whetstone.",-0.7822,-0.8049,0.0227,1,1
Q_226,"Using the brass coin, the window washer wiped the glass, completely ignoring the glass squeegee.",0.9071,0.9431,0.036,1,1
Q_227,"Using the frozen fish, the woodsman chopped the wood, completely ignoring the wood axe.",0.8251,0.8523,0.0272,1,1
Q_228,"Using the folded map, the soldier dug the trench, completely ignoring the trench shovel.",-0.7338,-0.7513,0.0175,0,0
Q_229,"Using the silk tie, the plumber unclogged the drain, completely ignoring the drain snake.",0.7628,0.7834,0.0206,0,0
Q_230,"Using the ceramic mug, the camper pitched the tent, completely ignoring the tent peg.",0.8744,0.9069,0.0325,1,1
Q_231,"Using the banana peel, the painter blended the canvas, completely ignoring the canvas brush.",0.7616,0.7821,0.0205,0,0
Q_232,"Using the rusty spoon, the knight blocked the strike, completely ignoring the strike shield.",0.8373,0.8658,0.0285,1,1
Q_233,"Using the wool sock, the dentist extracted the tooth, completely ignoring the tooth forceps.",0.8236,0.8507,0.0271,1,1
Q_234,"Using the plastic fork, the assassin picked the lock, completely ignoring the lock pick.",0.7679,0.7891,0.0212,0,1
Q_235,"Using the silver tray, the fisherman caught the bass, completely ignoring the bass net.",0.9915,1.0,0.0085,1,1
Q_236,"Using the melted candle, the surveyor measured the distance, completely ignoring the distance tape.",-0.8707,-0.9028,0.0321,1,1
Q_237,"Using the leather belt, the writer erased the draft, completely ignoring the draft eraser.",-0.658,-0.6675,0.0095,0,0
Q_238,"Using the cotton pad, the judge struck the gavel, completely ignoring the gavel block.",-0.8349,-0.8632,0.0283,1,1
Q_239,"Using the pine cone, the sweep cleaned the chimney, completely ignoring the chimney brush.",0.7671,0.7882,0.0211,0,1
Q_240,"Using the copper wire, the sailor swabbed the deck, completely ignoring the deck mop.",0.8882,0.9221,0.0339,1,1
Q_241,"Using the paper plate, the gardener watered the plant, completely ignoring the plant hose.",-0.7566,-0.7766,0.02,0,0
Q_242,"Using the glass marble, the seamstress cut the thread, completely ignoring the thread scissors.",0.8108,0.8365,0.0257,1,1
Q_243,"Using the wooden block, the chef flipped the pancake, completely ignoring the pancake spatula.",0.8604,0.8914,0.031,1,1
Q_244,"Using the metal fork, the lumberjack split the stump, completely ignoring the stump wedge.",0.8893,0.9234,0.0341,1,1
Q_245,"Using the soft pillow, the mechanic lifted the chassis, completely ignoring the chassis jack.",0.724,0.7405,0.0165,0,0
Q_246,"Using the dry sponge, the miner excavated the ore, completely ignoring the ore drill.",0.7932,0.8171,0.0239,1,1
Q_247,"Using the rolled newspaper, the gladiator deflected the blow, completely ignoring the blow buckler.",0.782,0.8047,0.0227,1,1
Q_248,"Using the wet towel, the blacksmith quenched the blade, completely ignoring the blade tongs.",0.7677,0.7888,0.0211,0,1
Q_249,"Using the guitar pick, the artist sculpted the clay, completely ignoring the clay wire.",-0.9612,-1.0,0.0388,1,1
Q_250,"Using the iron skillet, the hiker lit the fire, completely ignoring the fire match.",-0.8524,-0.8825,0.0301,1,1
Q_251,"Using the cardboard box, the maid scrubbed the tile, completely ignoring the tile brush.",-0.7191,-0.7351,0.016,0,0
Q_252,"Using the plastic comb, the pilot navigated the route, completely ignoring the route compass.",0.8934,0.9279,0.0345,1,1
Q_253,"Using the velvet cloth, the butcher crushed the bone, completely ignoring the bone mallet.",0.9898,1.0,0.0102,1,1
Q_254,"Using the rubber boot, the baker kneaded the dough, completely ignoring the dough roller.",0.9026,0.9381,0.0355,1,1
Q_255,"Using the tin foil, the tailor measured the hem, completely ignoring the hem ruler.",0.6985,0.7123,0.0138,0,0
Q_256,"Using the brass key, the mason leveled the cement, completely ignoring the cement float.",0.7813,0.8039,0.0226,1,1
Q_257,"Using the paper cup, the farmer harvested the wheat, completely ignoring the wheat scythe.",-0.9214,-0.9589,0.0375,1,1
Q_258,"Using the glass jar, the astronomer focused the lens, completely ignoring the lens dial.",-0.7634,-0.7841,0.0207,0,0
Q_259,"Using the silver fork, the soldier cleaned the rifle, completely ignoring the rifle rod.",-0.8555,-0.886,0.0305,1,1
Q_260,"Using the stone pebble, the surgeon sutured the wound, completely ignoring the wound needle.",-0.882,-0.9153,0.0333,1,1
Q_261,"Using the linen napkin, the potter shaped the vase, completely ignoring the vase wheel.",0.7458,0.7646,0.0188,0,0
Q_262,"Using the wax crayon, the carpenter sanded the board, completely ignoring the board paper.",0.8152,0.8414,0.0262,1,1
Q_263,"Using the steel pin, the janitor swept the dust, completely ignoring the dust broom.",0.5607,0.5616,0.0009,0,0
Q_264,"Using the silk scarf, the climber secured the rope, completely ignoring the rope carabiner.",0.738,0.756,0.018,0,0
Q_265,"Using the plastic bag, the firefighter extinguished the flame, completely ignoring the flame hose.",-0.7998,-0.8244,0.0246,1,1
Q_266,"Using the iron nail, the chef boiled the broth, completely ignoring the broth pot.",-0.7202,-0.7363,0.0161,0,0
Q_267,"Using the wooden dowel, the driver turned the wheel, completely ignoring the wheel steering.",0.9506,0.9912,0.0406,1,1
Q_268,"Using the cotton ball, the jeweler polished the gem, completely ignoring the gem cloth.",-0.7056,-0.7201,0.0145,0,0
Q_269,"Using the rubber hose, the writer sharpened the pencil, completely ignoring the pencil sharpener.",-0.7848,-0.8078,0.023,1,1
Q_270,"Using the tin can, the sailor dropped the anchor, completely ignoring the anchor winch.",0.8305,0.8583,0.0278,1,1
Q_271,"Using the brass ring, the painter mixed the pigment, completely ignoring the pigment palette.",0.9353,0.9743,0.039,1,1
Q_272,"Using the glass bead, the baker frosted the pastry, completely ignoring the pastry bag.",-0.7051,-0.7196,0.0145,0,0
Q_273,"Using the paper fan, the mechanic pumped the tire, completely ignoring the tire compressor.",0.9131,0.9497,0.0366,1,1
Q_274,"Using the leather boot, the gardener planted the seed, completely ignoring the seed trowel.",-0.8208,-0.8476,0.0268,1,1
Q_275,"Using the stone tablet, the archer strung the bow, completely ignoring the bow stringer.",-0.7415,-0.7599,0.0184,0,0
Q_276,"Using the wet leaf, the medic bandaged the arm, completely ignoring the arm gauze.",-0.857,-0.8876,0.0306,1,1
Q_277,"Using the plastic toy, the miner blasted the tunnel, completely ignoring the tunnel dynamite.",0.8359,0.8643,0.0284,1,1
Q_278,"Using the silk thread, the butcher ground the beef, completely ignoring the beef mincer.",-0.772,-0.7936,0.0216,1,1
Q_279,"Using the ceramic plate, the sweep dusted the mantle, completely ignoring the mantle duster.",-0.8256,-0.8529,0.0273,1,1
Q_280,"Using the wooden spoon, the tailor pressed the seam, completely ignoring the seam iron.",0.7892,0.8126,0.0234,1,1
Q_281,"Using the silver coin, the soldier loaded the clip, completely ignoring the clip magazine.",0.8291,0.8568,0.0277,1,1
Q_282,"Using the cotton glove, the dentist drilled the cavity, completely ignoring the cavity drill.",0.873,0.9053,0.0323,1,1
Q_283,"Using the rubber tire, the chef grated the cheese, completely ignoring the cheese grater.",-0.9469,-0.9871,0.0402,1,1
Q_284,"Using the tin badge, the plumber soldered the pipe, completely ignoring the pipe torch.",-0.721,-0.7372,0.0162,0,0
Q_285,"Using the glass prism, the mechanic greased the gear, completely ignoring the gear gun.",0.9906,1.0,0.0094,1,1
Q_286,"Using the paper ticket, the carpenter planed the door, completely ignoring the door planer.",0.6638,0.6739,0.0101,0,0
Q_287,"Using the leather wallet, the maid vacuumed the rug, completely ignoring the rug vacuum.",0.8079,0.8333,0.0254,1,1
Q_288,"Using the stone statue, the gardener weeded the bed, completely ignoring the bed hoe.",-0.8671,-0.8988,0.0317,1,1
Q_289,"Using the wet sponge, the blacksmith heated the forge, completely ignoring the forge bellows.",0.8425,0.8716,0.0291,1,1
Q_290,"Using the plastic cup, the lumberjack hauled the log, completely ignoring the log chain.",-0.7702,-0.7916,0.0214,0,1
Q_291,"Using the silk ribbon, the artist sketched the portrait, completely ignoring the portrait charcoal.",-0.8034,-0.8283,0.0249,1,1
Q_292,"Using the ceramic bowl, the baker whipped the cream, completely ignoring the cream whisk.",-0.7806,-0.8031,0.0225,1,1
Q_293,"Using the wooden peg, the sailor hoisted the sail, completely ignoring the sail pulley.",-0.7729,-0.7946,0.0217,1,1
Q_294,"Using the silver chain, the firefighter breached the wall, completely ignoring the wall axe.",0.888,0.9219,0.0339,1,1
Q_295,"Using the cotton swab, the medic injected the serum, completely ignoring the serum syringe.",0.8486,0.8783,0.0297,1,1
Q_296,"Using the rubber ball, the judge weighed the evidence, completely ignoring the evidence scale.",0.7646,0.7854,0.0208,0,0
Q_297,"Using the tin soldier, the hunter tracked the prey, completely ignoring the prey hound.",0.892,0.9263,0.0343,1,1
Q_298,"Using the glass vial, the brewer mashed the grain, completely ignoring the grain paddle.",0.8446,0.8739,0.0293,1,1
Q_299,"Using the paper map, the surveyor marked the boundary, completely ignoring the boundary stake.",0.885,0.9186,0.0336,1,1
Q_300,"Using the leather strap, the jeweler melted the gold, completely ignoring the gold crucible.",-0.8704,-0.9025,0.0321,1,1
Q_301,"Using the stone block, the climber gripped the hold, completely ignoring the hold chalk.",0.7537,0.7734,0.0197,0,0
Q_302,"Using the wet clay, the archer fletched the shaft, completely ignoring the shaft glue.",-0.7752,-0.7971,0.0219,1,1
Q_303,"Using the plastic brick, the chef peeled the potato, completely ignoring the potato peeler.",0.8798,0.9129,0.0331,1,1
Q_304,"Using the silk pillow, the mechanic painted the hood, completely ignoring the hood sprayer.",0.8688,0.9007,0.0319,1,1
Q_305,"Using the ceramic tile, the tailor dyed the wool, completely ignoring the wool vat.",0.8183,0.8448,0.0265,1,1
Q_306,"Using the wooden flute, the soldier dug the foxhole, completely ignoring the foxhole spade.",0.8294,0.8571,0.0277,1,1
Q_307,"Using the silver bell, the sailor tied the knot, completely ignoring the knot rope.",0.9222,0.9598,0.0376,1,1
Q_308,"Using the cotton shirt, the baker weighed the flour, completely ignoring the flour scale.",-0.7727,-0.7944,0.0217,1,1
Q_309,"Using the rubber duck, the butcher trussed the fowl, completely ignoring the fowl twine.",0.8638,0.8952,0.0314,1,1
Q_310,"Using the tin whistle, the farmer milked the cow, completely ignoring the cow machine.",0.8038,0.8288,0.025,1,1
Q_311,"Using the glass bottle, the sweep scraped the soot, completely ignoring the soot scraper.",-0.8026,-0.8274,0.0248,1,1
Q_312,"Using the paper kite, the plumber cut the PVC, completely ignoring the PVC saw.",-0.9079,-0.9439,0.036,1,1
Q_313,"Using the leather pouch, the carpenter glued the joint, completely ignoring the joint clamp.",0.886,0.9197,0.0337,1,1
Q_314,"Using the stone pestle, the dentist cleaned the plaque, completely ignoring the plaque scaler.",0.8851,0.9187,0.0336,1,1
Q_315,"Using the wet rag, the blacksmith stamped the mark, completely ignoring the mark punch.",0.9244,0.9622,0.0378,1,1
Q_316,"Using the plastic tube, the mechanic checked the oil, completely ignoring the oil dipstick.",0.8217,0.8486,0.0269,1,1
Q_317,"Using the silk fan, the gardener raked the leaf, completely ignoring the leaf rake.",0.8746,0.9071,0.0325,1,1
Q_318,"Using the ceramic pot, the artist framed the picture, completely ignoring the picture frame.",0.7952,0.8193,0.0241,1,1
